Date,Open,High,Low,Close,Volume,Stock Splits,NATR_3,RSI_3,ADX_3,CCI_3_0.015,ROC_3,STOCHk_14_3_3,STOCHd_14_3_3,WILLR_3,OBV,MACD_12_26_9,BBL_3_2.0,BBM_3_2.0,BBU_3_2.0,BBB_3_2.0,BBP_3_2.0,min_price_3,max_price_3,mid_price,tema_2,tema_100,tema_8
2014-12-25 00:00:00+00:00,322.2860107421875,322.6700134277344,316.9580078125,319.00799560546875,9883640,0.0,2.724768840311945,31.18177572158946,39.522226385673754,-97.12035408752074,-3.8802454014807948,38.41786510699937,41.184066854888016,-89.3942264577531,-151705932.0,-11.603669145124115,312.0449304671653,325.37132771809894,338.6977249690326,8.191500673642413,0.2612508469915091,316.9580078125,336.2869873046875,319.8140106201172,318.7129973102624,366.4684094238281,322.61358946614945
2014-12-26 00:00:00+00:00,319.1520080566406,331.42401123046875,316.62701416015625,327.92401123046875,16410500,0.0,3.5815046669707744,57.57415280693729,32.72389527467937,39.3252209224673,-1.9870102446764213,36.803432776472306,39.757403030232126,-37.63383252549451,-135295432.0,-10.92358365593958,315.8225988781586,323.15533447265625,330.4880700671539,4.538211078250424,0.8251635556988328,316.62701416015625,334.7409973144531,324.0255126953125,327.2727627132604,364.2236858135453,325.21872367634836
2014-12-27 00:00:00+00:00,327.5830078125,328.9110107421875,312.6300048828125,315.8630065917969,15185200,0.0,4.4363567497365555,32.37817118630978,24.95066784976505,-55.14617149655724,-2.068305995934825,34.0226376147502,36.41464516607396,-82.7976981108791,-150480632.0,-11.228399284809427,310.7150371368572,320.9316711425781,331.1483051482991,6.3668593188997376,0.2519405829775746,312.6300048828125,331.42401123046875,320.7705078125,316.5721257714725,361.3648685525106,320.4996167833955
2014-12-28 00:00:00+00:00,316.1600036621094,320.02801513671875,311.0780029296875,317.239013671875,11676600,0.0,3.619167414830957,37.089620011260784,23.46539422784744,-79.41165785397477,-0.5545258921289007,33.09995078853953,34.64200705992068,-69.71882321530887,-138804032.0,-11.229489035686242,309.56074276789695,320.3420104980469,331.1232782281968,6.731098249266719,0.35609313747518234,311.0780029296875,331.42401123046875,315.5530090332031,316.87969605070793,358.6992213368492,318.47176414410177
2014-12-29 00:00:00+00:00,317.70098876953125,320.2669982910156,312.3070068359375,312.6700134277344,12302500,0.0,3.108933001263828,27.534493687449014,21.3707460271164,-71.92149045597242,-4.651686756787593,23.76736472404959,30.296651042446438,-91.07267537374733,-151106532.0,-11.466850096040446,311.4297044982249,315.25734456380206,319.0849846293792,2.428263849569104,0.16202005782412113,311.0780029296875,328.9110107421875,316.28700256347656,312.76805498837035,355.8736427120793,314.97837031449404
2014-12-30 00:00:00+00:00,312.718994140625,314.8089904785156,309.37298583984375,310.73699951171875,12528300,0.0,2.438831857004391,23.665448155545985,29.25454494274371,-100.0,-1.6228576861179191,22.63307668537711,26.500130732655407,-87.47923524056307,-163634832.0,-11.67634092470621,308.09631644852993,313.5486755371094,319.0010346256888,3.477839017651433,0.24215967990076206,309.37298583984375,320.2669982910156,312.0909881591797,310.66326270634846,353.0486002452308,312.03008958385385
2014-12-31 00:00:00+00:00,310.91400146484375,320.1929931640625,310.21099853515625,320.1929931640625,13942900,0.0,2.742150506007473,62.416672324136286,27.72830488155502,80.87887351713687,0.9311526530097097,30.1187841678201,25.506408525748927,-0.6793192800616299,-149691932.0,-10.953083921625364,306.3752423753727,314.53333536783856,322.6914283603044,5.187426625495952,0.8468738221941529,309.37298583984375,320.2669982910156,315.2019958496094,319.7490818065766,350.8880352844243,315.48261892276247
2015-01-01 00:00:00+00:00,320.43499755859375,320.43499755859375,314.00299072265625,314.2489929199219,8036550,0.0,2.4204024453409687,42.211644779371504,27.498870272777143,40.2703114457959,0.5049986965099359,31.808747455642358,28.186869436279853,-55.921154270580445,-157728482.0,-10.735773366930857,307.2542206703651,315.0596618652344,322.86510306010365,4.954897208140865,0.4480702675817112,309.37298583984375,320.43499755859375,317.218994140625,314.8254769059105,348.46964204782546,314.60192730224543
2015-01-02 00:00:00+00:00,314.0790100097656,315.8389892578125,313.56500244140625,315.0320129394531,7860650,0.0,1.5681068462395098,45.685862487964094,24.02098342788703,-99.99999999999754,1.3822021305745402,32.05310258675943,31.32687807007396,-52.84609874037371,-149867832.0,-10.380707678738304,311.21749922910914,316.4913330078125,321.76516678651586,3.332687646503849,0.36164523479557154,310.21099853515625,320.43499755859375,314.7019958496094,314.93421734217685,346.1958412754808,314.60146498798684
2015-01-03 00:00:00+00:00,314.84600830078125,315.1499938964844,281.0820007324219,281.0820007324219,33054400,0.0,6.938906017668879,9.304685886715932,45.33880475141828,-100.00000000000001,-12.214818333516964,15.45558562937203,26.4391452239246,-100.0,-182922232.0,-12.692486729533073,271.80861740722395,303.45433553059894,335.10005365397393,20.856988626009585,0.14651876896969793,281.0820007324219,320.43499755859375,298.1159973144531,282.3111601447327,342.038758987206,296.7278791770395
